Range	Count	Percentage
0.0-53.0	11	6.40%
53.0-106.1	43	25.00%
106.1-159.1	33	19.19%
159.1-212.1	36	20.93%
212.1-265.2	12	6.98%
265.2-318.2	16	9.30%
318.2-371.2	6	3.49%
371.2-424.3	4	2.33%
424.3-477.3	1	0.58%
477.3-530.4	4	2.33%
530.4-583.4	0	0.00%
583.4-636.4	1	0.58%
636.4-689.5	0	0.00%
689.5-742.5	1	0.58%
742.5-795.5	0	0.00%
795.5-848.6	0	0.00%
848.6-901.6	0	0.00%
901.6-954.6	0	0.00%
954.6-1007.7	2	1.16%
1007.7-1060.7	0	0.00%
1060.7-1113.8	0	0.00%
1113.8-1166.8	0	0.00%
1166.8-1219.8	0	0.00%
1219.8-1272.9	0	0.00%
1272.9-1325.9	1	0.58%
1325.9-1378.9	0	0.00%
1378.9-1432.0	0	0.00%
1432.0-1485.0	0	0.00%
1485.0-1538.0	1	0.58%
